species,year,germ,survive,seedlings_per_m2,lx,bx,lxbx,seeds_per_m2,germ fraction,,,,,,,,
mobe,1998,1,1,0.208,1,.,.,0,1,,,,,,,,
pere,1998,906,643,188.75,0.71,173.79,123.34,50.94,0.787,,,,,,,,
plin,1998,23,10,4.792,0.435,61.87,28.9,39.62,0.108,,,,,,,,
plpa,1998,96,32,20,0.333,262.53,87.51,31.13,0.391,,,,,,,,
scba,1998,243,113,50.625,0.465,1413.79,657.44,591.495,0.079,,,,,,,,
stmi,1998,329,222,68.542,0.675,276.62,186.66,14.15,0.829,,,,,,,,
vuoc,1998,130,58,27.083,0.446,213.01,95.04,25.47,0.515,,,,,,,,
dapu,1999,39,0,6.5,0,.,0,175.465,0.036,,,,,,,,
drcu,1999,9,0,1.5,0,.,0,399.04,0.004,,,,,,,,
erci,1999,151,0,25.167,0,.,0,0,1,,,,,,,,
erla,1999,10,0,1.667,0,.,0,416.025,0.004,,,,,,,,
erte,1999,13,0,2.167,0,.,0,0,1,,,,,,,,
eumi,1999,1,0,0.167,0,.,0,0,1,,,,,,,,
evmu,1999,4,0,0.667,0,.,0,1896.17,0,,,,,,,,
lare,1999,26,0,4.333,0,.,0,0,1,,,,,,,,
mobe,1999,0,0,0,.,.,0,0,0,,,,,,,,
pere,1999,1475,3,245.833,0.002,6.087,0.012,2484.825,0.09,,,,,,,,
plin,1999,9,0,1.5,0,.,0,39.62,0.036,,,,,,,,
plpa,1999,79,0,13.167,0,.,0,158.485,0.077,,,,,,,,
scba,1999,195,3,32.5,0.015,3.7,0.057,982.045,0.032,,,,,,,,
stmi,1999,33,0,5.5,0,.,0,0,1,,,,,,,,
vuoc,1999,127,0,21.167,0,.,0,118.865,0.151,,,,,,,,
dapu,2000,0,0,0,.,.,0,234.895,0,,,,,,,,
drcu,2000,0,0,0,.,.,0,234.895,0,,,,,,,,
erci,2000,43,0,7.167,0,.,0,0,1,,,,,,,,
erla,2000,0,0,0,.,.,0,164.145,0,,,,,,,,
erte,2000,3,0,0.5,0,.,0,0,1,,,,,,,,
eumi,2000,0,0,0,.,.,0,0,0,,,,,,,,
evmu,2000,7,0,1.167,0,.,0,650.92,0.002,,,,,,,,
lare,2000,0,0,0,.,.,0,0,0,,,,,,,,
mobe,2000,0,0,0,.,.,0,0,0,,,,,,,,
pere,2000,1277,22,212.833,0.017,4.182,0.072,880.16,0.195,,,,,,,,
plin,2000,0,0,0,.,.,0,16.98,0,,,,,,,,
plpa,2000,0,0,0,.,.,0,31.13,0,,,,,,,,
scba,2000,11,0,1.833,0,.,0,229.24,0.008,,,,,,,,
stmi,2000,3,0,0.5,0,.,0,0,1,,,,,,,,
vuoc,2000,3,0,0.5,0,.,0,73.58,0.007,,,,,,,,
dapu,2001,523,466,90.172,0.891,293.078,261.136,7.278,0.925,,,,,,,,
drcu,2001,249,167,42.931,0.671,319.611,214.358,12.129,0.78,,,,,,,,
erci,2001,145,138,25,0.952,120.493,114.676,10.916,0.696,,,,,,,,
erla,2001,438,406,75.517,0.927,136.767,126.775,8.491,0.899,,,,,,,,
erte,2001,18,14,3.103,0.778,83.833,65.204,0,1,,,,,,,,
eumi,2001,320,182,55.172,0.569,.,.,97.031,0.362,,,,,,,,
evmu,2001,1086,995,187.241,0.916,379.57,347.764,390.55,0.324,,,,,,,,
lare,2001,165,131,28.448,0.794,124.5,98.845,7.278,0.796,,,,,,,,
mobe,2001,185,145,31.897,0.784,134.6,105.497,0,1,,,,,,,,
pere,2001,2123,1890,366.034,0.89,114.985,102.366,18.194,0.953,,,,,,,,
plin,2001,41,29,7.069,0.707,119.167,84.289,0,1,,,,,,,,
plpa,2001,105,89,18.103,0.848,231.269,196.028,1.213,0.937,,,,,,,,
scba,2001,682,557,117.586,0.817,358.759,293.004,67.922,0.634,,,,,,,,
stmi,2001,939,867,161.897,0.923,84.233,77.775,6.065,0.964,,,,,,,,
vuoc,2001,32,28,5.517,0.875,460.65,403.069,4.852,0.532,,,,,,,,
dapu,2002,15,0,2.586,0,.,0,483.942,0.005,,,,,,,,
drcu,2002,0,0,0,.,.,0,392.975,0,,,,,,,,
erci,2002,491,0,84.655,0,.,0,183.146,0.316,,,,,,,,
erla,2002,0,0,0,.,.,0,513.051,0,,,,,,,,
erte,2002,3,0,0.517,0,.,0,1.213,0.299,,,,,,,,
eumi,2002,0,0,0,.,.,0,418.446,0,,,,,,,,
evmu,2002,0,0,0,.,.,0,1812.052,0,,,,,,,,
lare,2002,1,0,0.172,0,.,0,366.292,0,,,,,,,,
mobe,2002,0,0,0,.,.,0,19.406,0,,,,,,,,
pere,2002,428,0,73.793,0,.,0,4131.091,0.018,,,,,,,,
plin,2002,1,0,0.172,0,.,0,41.238,0.004,,,,,,,,
plpa,2002,3,0,0.517,0,.,0,251.068,0.002,,,,,,,,
scba,2002,27,0,4.655,0,.,0,206.191,0.022,,,,,,,,
stmi,2002,0,0,0,.,.,0,1533.089,0,,,,,,,,
vuoc,2002,0,0,0,.,.,0,681.642,0,,,,,,,,
dapu,2003,11,0,1.897,0,.,0,69.135,0.027,,,,,,,,
drcu,2003,2,0,0.345,0,.,0,128.566,0.003,,,,,,,,
erci,2003,149,18,25.69,0.121,15,1.812,25.471,0.502,,,,,,,,
erla,2003,5,5,0.862,1,45,45,32.748,0.026,,,,,,,,
erte,2003,15,7,2.586,0.467,10.286,4.8,0,1,,,,,,,,
eumi,2003,4,0,0.69,0,.,0,61.858,0.011,,,,,,,,
evmu,2003,19,0,3.276,0,.,0,1038.231,0.003,,,,,,,,
lare,2003,7,7,1.207,1,51,51,47.303,0.025,,,,,,,,
mobe,2003,0,0,0,.,.,0,2.426,0,,,,,,,,
pere,2003,1166,232,201.034,0.199,28,5.571,308.073,0.395,,,,,,,,
plin,2003,61,23,10.517,0.377,50.957,19.213,0,1,,,,,,,,
plpa,2003,31,19,5.345,0.613,44.211,27.097,9.704,0.355,,,,,,,,
scba,2003,150,13,25.862,0.087,28.692,2.487,64.283,0.287,,,,,,,,
stmi,2003,11,1,1.897,0.091,20,1.818,206.191,0.009,,,,,,,,
vuoc,2003,0,0,0,.,.,0,48.516,0,,,,,,,,
dapu,2004,226,16,38.966,0.071,27.481,1.946,138.269,0.22,,,,,,,,
drcu,2004,208,17,35.862,0.082,419.316,34.271,7.277,0.831,,,,,,,,
erci,2004,62,18,10.69,0.29,81.111,23.548,0,1,,,,,,,,
erla,2004,72,9,12.414,0.125,128.333,16.042,50.941,0.196,,,,,,,,
erte,2004,35,17,6.034,0.486,44.706,21.714,0,1,,,,,,,,
eumi,2004,0,0,0,.,.,0,24.258,0,,,,,,,,
evmu,2004,62,4,10.69,0.065,253.075,16.327,322.628,0.032,,,,,,,,
lare,2004,79,13,13.621,0.165,41.333,6.802,174.656,0.072,,,,,,,,
mobe,2004,2,2,0.345,1,289.1,289.1,0,1,,,,,,,,
pere,2004,887,333,152.931,0.375,60.169,22.589,587.037,0.207,,,,,,,,
plin,2004,0,0,0,.,.,0,4.852,0,,,,,,,,
plpa,2004,68,15,11.724,0.221,19.639,4.332,2.426,0.829,,,,,,,,
scba,2004,134,30,23.103,0.224,244,54.627,63.07,0.268,,,,,,,,
stmi,2004,172,7,29.655,0.041,114.4,4.656,24.258,0.55,,,,,,,,
vuoc,2004,1,1,0.172,1,19,19,0,1,,,,,,,,
dapu,2005,63,37,10.862,0.587,61.412,36.067,50.941,0.176,,,,,,,,
drcu,2005,23,2,3.966,0.087,112.19,9.756,46.09,0.079,,,,,,,,
erci,2005,136,124,23.448,0.912,101.264,92.329,9.703,0.707,,,,,,,,
erla,2005,103,73,17.759,0.709,182.846,129.59,50.941,0.258,,,,,,,,
erte,2005,57,40,9.828,0.702,70.857,49.724,0,1,,,,,,,,
eumi,2005,0,0,0,.,.,0,84.902,0,,,,,,,,
evmu,2005,107,82,18.448,0.766,214.81,164.621,1479.721,0.012,,,,,,,,
lare,2005,3,2,0.517,0.667,66,44,24.258,0.021,,,,,,,,
mobe,2005,39,28,6.724,0.718,235.27,168.912,0,1,,,,,,,,
pere,2005,3005,2380,518.103,0.792,156,123.554,33.961,0.938,,,,,,,,
plin,2005,33,19,5.69,0.576,187.118,107.734,0,1,,,,,,,,
plpa,2005,22,19,3.793,0.864,142.364,122.951,2.426,0.61,,,,,,,,
scba,2005,202,179,34.828,0.886,769.745,682.101,75.199,0.317,,,,,,,,
stmi,2005,34,15,5.862,0.441,348.086,153.567,9.703,0.377,,,,,,,,
vuoc,2005,1,1,0.172,1,373.75,373.75,2.426,0.066,,,,,,,,
dapu,2006,0,0,0,.,.,0,64.057,0,,,,,,,,
drcu,2006,0,0,0,.,.,0,476.863,0,,,,,,,,
erci,2006,0,0,0,.,.,0,66.622,0,,,,,,,,
erla,2006,0,0,0,.,.,0,73.842,0,,,,,,,,
erte,2006,0,0,0,.,.,0,7.443,0,,,,,,,,
eumi,2006,0,0,0,.,.,0,338.685,0,,,,,,,,
evmu,2006,0,0,0,.,.,0,1521.296,0,,,,,,,,
lare,2006,0,0,0,.,.,0,9.812,0,,,,,,,,
mobe,2006,0,0,0,.,.,0,9.896,0,,,,,,,,
pere,2006,0,0,0,.,.,0,994.675,0,,,,,,,,
plin,2006,0,0,0,.,.,0,22.133,0,,,,,,,,
plpa,2006,0,0,0,.,.,0,2.481,0,,,,,,,,
